机器学习基础概念,描述
监督学习,从标记的训练数据中学习映射函数
无监督学习,从未标记的数据中发现隐藏的模式
强化学习,通过与环境交互来学习最优策略
深度学习,使用多层神经网络的机器学习方法
神经网络,受人脑结构启发的计算模型
特征工程,从原始数据中提取有用特征的过程
过拟合,模型在训练集上表现好但在测试集上表现差
欠拟合,模型无法捕捉数据的基本模式
交叉验证,评估模型性能的统计方法
梯度下降,优化算法用于最小化损失函数
反向传播,训练神经网络的常用算法
卷积神经网络,CNN主要用于图像处理
循环神经网络,RNN适用于序列数据
Transformer,基于注意力机制的深度学习架构
自然语言处理,NLP让计算机理解和生成人类语言
计算机视觉,CV使计算机能够从图像中提取信息
决策树,基于树结构的分类和回归模型
随机森林,多个决策树的集成学习方法
支持向量机,SVM用于分类和回归分析
聚类分析,将相似对象分组的无监督学习方法
降维,减少数据集变量数量的技术
主成分分析,PCA是最常用的降维方法
贝叶斯定理,基于先验概率计算后验概率
正则化,防止过拟合的技术
损失函数,衡量模型预测与实际值差异的函数
准确率,正确预测占总预测的比例
精确率,真正例占预测为正例的比例
召回率,真正例占实际正例的比例
F1分数,精确率和召回率的调和平均数
