神经网络基础概念,详细说明
感知机,最简单的神经网络单元，接收多个输入并产生一个输出
激活函数,引入非线性因素，如 ReLU、Sigmoid、Tanh
前向传播,数据从输入层经过隐藏层到输出层的计算过程
反向传播,通过链式法则计算梯度并更新权重的算法
损失函数,衡量预测值与真实值之间的差距，如 MSE、交叉熵
梯度下降,通过迭代更新参数来最小化损失函数的优化算法
学习率,控制每次参数更新步长的超参数
批量大小,一次训练中使用的样本数量
 epoch,完整遍历一次训练数据集的过程
过拟合,模型在训练集上表现太好，在测试集上表现差的现象
正则化,防止过拟合的技术，如 L1、L2 正则化
Dropout,随机丢弃部分神经元以防止过拟合的技术
批归一化,对每一层的输入进行标准化以加速训练
卷积层,CNN 的核心组件，用于提取局部特征
池化层,降低特征图维度，如最大池化、平均池化
全连接层,每个神经元与前一层所有神经元相连的层
循环神经网络,RNN 用于处理序列数据的神经网络架构
长短期记忆,LSTM 解决 RNN 梯度消失问题的改进版本
门控循环单元,GRU LSTM 的简化版本，计算效率更高
注意力机制,让模型关注输入中的重要部分
Transformer,完全基于注意力机制的架构，取代 RNN
编码器-解码器, seq2seq 模型的基本结构
词嵌入,将词语转换为向量表示，如 Word2Vec、GloVe
迁移学习,将在一个任务上学到的知识应用到另一个任务
生成对抗网络,GAN 由生成器和判别器组成的生成模型
变分自编码器,VAE 用于生成新数据的概率模型
强化学习智能体,通过与环境交互学习最优策略的代理
奖励函数,量化智能体行为好坏的反馈信号
Q-learning,基于值函数的强化学习算法
策略梯度,直接优化策略的强化学习方法
深度 Q 网络,DQN 结合深度学习和 Q-learning 的算法
